GEOID,COUNTYNAME,pop_density,Job_to_pop_ratio,%_renter_occupied,%_units_10-19_structure,%_units_20+_structures,FAR_avg,designation,price_sf_21,price_sf_22,price_sf_23,1yrChange_num,1yrChange_per,2yrChange_num,2yrChange_per
13067030344,Cobb,4234.495983,2.620871863,88.8,19.2,28.4,0.24833207203039678,Urban,152.51389936191833,185.3818637754914,214.4899904671115,29.1081266916201,15.701712184138895,61.97609110519318,40.636356007213976
13121011100,Fulton,1830.384838,0.803110929,37.5,0.4,11.8,0.13625250385998872,Rural,164.874696847211,216.7686915291445,214.94839255499159,-1.8202989741529052,-0.839742566748006,50.07369570778059,30.37075831847246
13089021417,DeKalb,6131.424229,0.553863382,80.4,34.6,22.4,0.8998766303244436,Suburban,213.0681818181818,246.4788732394366,255.3501945525292,8.87132131309258,3.5992217898832752,42.282012734347376,19.8443579766537
13121010128,Fulton,18488.56674,0.014125956,75.5,33.3,31.2,0.5218933062543215,Suburban,183.3452488659155,231.4806864431367,235.43495610534717,3.9542696622104643,1.7082503611729316,52.089707239431675,28.41072106402171
13135050225,Gwinnett,3853.975793,0.339540508,55.9,6.4,38.7,0.3229947898042072,Urban,139.44079785680097,175.568743818002,175.90824442901334,0.33950061101134565,0.19337189731406787,36.46744657221237,26.152637630245557
13089021225,DeKalb,11421.70586,0.502576298,68.4,11.5,76.6,0.5439442505995133,Suburban,226.06338221877488,276.541095890411,261.99254355071014,-14.548552339700848,-5.260900660300492,35.92916133193526,15.893401655454529
13067030363,Cobb,1782.616685,0.414330218,14.1,0.0,0.0,0.12179275907559658,Rural,179.42588419711961,211.81898974867727,219.68873517786562,7.869745429188356,3.7153162889341464,40.26285098074601,22.43982308400538
13089023332,DeKalb,3183.683521,0.053538001,26.5,1.5,0.0,0.13512075369213677,Rural,109.79971387696708,138.795456375899,143.72858193432256,4.933125558423569,3.5542413903400494,33.92886805735549,30.900688953865135
13063040530,Clayton,2984.340126,0.060710498,48.5,17.6,9.1,0.2262624994956836,Urban,103.65712364243451,142.42424242424244,143.29805996472663,0.8738175404841968,0.6135314645952871,39.64093632229212,38.24236572397438
13135050440,Gwinnett,6136.03441,0.026476314,37.2,0.0,0.0,0.14631020686088686,Urban,143.91447368421052,169.31590102039382,168.14617261045834,-1.1697284099354874,-0.6908556153828669,24.231698926247816,16.837569082467056
13057090907,Cherokee,1890.497549,0.028224866,12.0,0.0,0.0,0.11501819082467903,Rural,176.6149254230442,217.99116997792495,211.5262321144674,-6.46493786345755,-2.9656879515405263,34.91130669142319,19.766906227092893
