GEOID,label,Commercial Office,Commercial Office - 2+ Floors,Commercial Office - Mixed Use,Commercial Retail,Commercial Retail - Department Store,Commercial Retail - Food & Drink,Commercial Retail - Mall,"Commercial Retail - Shopping Plaza, Mini-Mall",Commercial Retail - Truck Stop,Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Residential  ,Residential - Condo,Residential - Townhouse,distance_from_core
13063040637,Urban,0.0115774240231548,0.0,0.0,0.0217076700434153,0.0,0.0072358900144717,0.0,0.004341534008683,0.0,0.0,0.0,0.0028943560057887,0.0,0.5904486251808972,0.0,0.3603473227206946,35671.20574770349
13063040638,Suburban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000738552437223,0.0,0.0,0.0,0.0,0.0,0.9992614475627768,0.0,0.0,36791.828436835305
13063040639,Suburban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974619289340102,0.0,0.0,35519.01459971912
13063980000,Urban,0.1555555555555555,0.1111111111111111,0.0,0.1333333333333333,0.0,0.0222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14518.751828376813
13121000100,Urban,0.0010899182561307,0.0,0.0,0.0065395095367847,0.0,0.0021798365122615,0.0,0.0,0.0,0.0,0.0523160762942779,0.0054495912806539,0.0,0.8517711171662126,0.0752043596730245,0.0010899182561307,5217.795474280189
13121000201,Urban,0.02068345323741,0.0,0.0044964028776978,0.0134892086330935,0.0,0.0098920863309352,0.0,0.0062949640287769,0.0,0.0,0.0422661870503597,0.0026978417266187,0.0,0.5377697841726619,0.3273381294964029,0.0116906474820143,4546.735106833645
13121000202,Urban,0.0,0.0,0.0068912710566615,0.0229709035222052,0.0,0.0,0.0,0.0,0.0,0.0,0.0842266462480857,0.0099540581929555,0.0,0.8621745788667687,0.004594180704441,0.0,3704.840110129524
13121000400,Urban,0.078996282527881,0.0511152416356877,0.0,0.0046468401486988,0.0,0.0,0.0,0.0,0.0,0.0,0.020446096654275,0.0130111524163568,0.0027881040892193,0.2072490706319702,0.5669144981412639,0.037174721189591,3244.630110346984
13121000501,Urban,0.0259238830667402,0.0187534473248758,0.0044125758411472,0.0292333149476006,0.0011031439602868,0.0011031439602868,0.0,0.0011031439602868,0.0,0.0,0.0071704357418643,0.0033094318808604,0.0204081632653061,0.0959735245449531,0.6916712630998345,0.0777716492002206,3599.8070734329394
13121000502,Urban,0.0025445292620865,0.005089058524173,0.005089058524173,0.0139949109414758,0.0,0.0,0.0,0.0,0.0,0.0,0.0381679389312977,0.005089058524173,0.0,0.8180661577608143,0.0979643765903307,0.0089058524173027,4385.831877750155
13121000601,Urban,0.0277008310249307,0.0,0.002770083102493,0.1094182825484764,0.0,0.0290858725761772,0.0,0.002770083102493,0.0,0.0055401662049861,0.1121883656509695,0.0083102493074792,0.0332409972299169,0.3947368421052631,0.1731301939058172,0.0,3218.5296707925313
13121000602,Urban,0.0,0.0,0.0,0.0032,0.0,0.0032,0.0,0.0,0.0,0.0064,0.0,0.0,0.0112,0.032,0.8704,0.072,3508.9993691701884
13121000700,Urban,0.2717391304347826,0.0,0.0062111801242236,0.0822981366459627,0.0,0.0,0.0,0.0,0.0,0.0,0.0248447204968944,0.0,0.0,0.5263975155279503,0.0,0.0419254658385093,4077.4960674420367
13121001001,Urban,0.0297029702970297,0.0066006600660066,0.0,0.061056105610561,0.0,0.0181518151815181,0.0,0.0,0.0,0.0115511551155115,0.028052805280528,0.0099009900990099,0.0132013201320132,0.1023102310231023,0.6006600660066007,0.061056105610561,2380.036980177669
13121001002,Urban,0.1,0.0,0.0944444444444444,0.2444444444444444,0.0,0.0277777777777777,0.0,0.0,0.0,0.2611111111111111,0.0,0.0,0.0333333333333333,0.05,0.0555555555555555,0.0,2169.464171679933
13121001101,Urban,0.0036652412950519,0.0061087354917532,0.0024434941967012,0.0024434941967012,0.0,0.0140500916310323,0.0,0.0,0.0,0.0018326206475259,0.0,0.0128283445326817,0.0,0.0018326206475259,0.9450213805742212,0.0,2834.352066732563
13121001102,Urban,0.0064655172413793,0.0053879310344827,0.0043103448275862,0.0043103448275862,0.0,0.011853448275862,0.0,0.0021551724137931,0.0,0.0,0.0075431034482758,0.0064655172413793,0.0086206896551724,0.0301724137931034,0.896551724137931,0.0075431034482758,2560.583738770206
