GEOID,Multi-Family Residential,Multi-Family Residential - 2 to 4 units,Multi-Family Residential - 5+ units,Multi-Family Residential - High-Rise,Multi-Family Residential - Mobile Home Park,Residential  ,Residential - Condo,Residential - Mobile Home Park,Residential - Parking Garage,Residential - Townhouse
13089023213,0.04107031736154325,0.0006222775357809583,0.0,0.0,0.0,0.9054138145612943,0.0031113876789047915,0.0,0.0,0.049782202862476664
13089023214,0.08139534883720931,0.0006119951040391676,0.0,0.0024479804161566705,0.0,0.5624235006119951,0.1303549571603427,0.0,0.0,0.22276621787025705
13089023215,0.0,0.0,0.0,0.0,0.0,0.9446172993154948,0.0043559427504667085,0.0006222775357809583,0.0,0.05040448039825762
13089023216,0.005401234567901234,0.0007716049382716049,0.0,0.0,0.0,0.7600308641975309,0.010802469135802469,0.0,0.0,0.22299382716049382
13089023217,0.0014378145219266715,0.0007189072609633358,0.0,0.0,0.0,0.9964054636951833,0.0014378145219266715,0.0,0.0,0.0
13089023218,0.23486682808716708,0.0,0.0,0.0,0.0,0.5835351089588378,0.0,0.0,0.0,0.18159806295399517
13089023219,0.0008250825082508251,0.0016501650165016502,0.0,0.0,0.0,0.990924092409241,0.006600660066006601,0.0,0.0,0.0
13089023220,0.0,0.0,0.0,0.0,0.0,0.8309433962264151,0.011320754716981131,0.0,0.0,0.15773584905660376
13089023221,0.0,0.0,0.0,0.0,0.0,0.8831646734130635,0.062557497700092,0.0,0.0,0.05427782888684453
13089023222,0.023350253807106598,0.0,0.0,0.0,0.0,0.8020304568527918,0.005076142131979695,0.0,0.0,0.16954314720812183
13089023311,0.0019749835418038184,0.0,0.0,0.0,0.0,0.9749835418038183,0.0065832784726793945,0.0,0.0,0.016458196181698487
13089023313,0.0010887316276537834,0.0,0.0,0.0,0.0,0.7800762112139358,0.011431682090364725,0.0,0.0,0.20740337506804574
13089023315,0.005598621877691645,0.0,0.0,0.0,0.0,0.9780361757105943,0.015073212747631352,0.0004306632213608958,0.0,0.0008613264427217916
13089023317,0.045307443365695796,0.019417475728155338,0.0,0.0,0.0,0.6496763754045307,0.10355987055016182,0.0,0.0,0.1820388349514563
13089023318,0.003971405877680699,0.0023828435266084196,0.0,0.0,0.0,0.9634630659253376,0.030182684670373314,0.0,0.0,0.0
13089023319,0.04262672811059908,0.0,0.0,0.0,0.0,0.6278801843317973,0.001152073732718894,0.0,0.0,0.3283410138248848
13089023320,0.09538950715421304,0.017488076311605722,0.07790143084260731,0.0,0.0,0.3338632750397456,0.0047694753577106515,0.0,0.0,0.47058823529411764
13089023321,0.2339622641509434,0.0,0.0,0.0,0.0,0.47924528301886793,0.2849056603773585,0.0,0.0,0.0018867924528301887
13089023322,0.0,0.0,0.0,0.0,0.0,0.7574421168687983,0.0011025358324145535,0.0,0.0,0.2414553472987872
13089023323,0.000782472613458529,0.0,0.0,0.0,0.0,0.9796557120500783,0.009389671361502348,0.0,0.0,0.010172143974960876
13089023324,0.0,0.0,0.0,0.0,0.0,0.7450076804915514,0.016897081413210446,0.0,0.0,0.23809523809523808
13089023325,0.0005652911249293386,0.0,0.0,0.0,0.0,0.9474279253815715,0.0022611644997173543,0.0005652911249293386,0.0,0.04918032786885246
13089023326,0.014227642276422764,0.0,0.0,0.0,0.0,0.983739837398374,0.0020325203252032522,0.0,0.0,0.0
13089023327,0.01048767697954903,0.0,0.0,0.0,0.0,0.7205034084950184,0.0015731515469323545,0.0,0.0,0.26743576297850025
13089023328,0.0,0.009264305177111716,0.0,0.0,0.0,0.7019073569482289,0.0005449591280653951,0.0,0.0,0.288283378746594
13089023329,0.0006756756756756757,0.0,0.0,0.0,0.0,0.9918918918918919,0.007432432432432433,0.0,0.0,0.0
13089023330,0.0019120458891013384,0.0,0.0,0.0,0.0,0.8154875717017208,0.0028680688336520078,0.0,0.0,0.17973231357552583
13089023331,0.0,0.0,0.0,0.0,0.0,0.9919289749798225,0.005649717514124294,0.0,0.0,0.002421307506053269
13089023332,0.0019157088122605363,0.0009578544061302681,0.0,0.0,0.0,0.6848659003831418,0.0421455938697318,0.0,0.0,0.27011494252873564
13089023410,0.1810918774966711,0.0,0.0,0.0,0.0,0.6524633821571239,0.041278295605858856,0.0,0.0,0.12516644474034622
13089023411,0.016570605187319884,0.0,0.0,0.0,0.0,0.877521613832853,0.011527377521613832,0.0,0.0,0.09438040345821326
13089023413,0.0022189349112426036,0.0,0.0,0.0,0.0,0.9607988165680473,0.010355029585798817,0.0,0.0,0.026627218934911243
13089023422,0.0009732360097323601,0.00291970802919708,0.0,0.0,0.0,0.9591240875912409,0.00291970802919708,0.0,0.0,0.0340632603406326
13089023424,0.0026553372278279343,0.0,0.0,0.0,0.0,0.9782262347318109,0.019118428040361127,0.0,0.0,0.0
13089023425,0.008348794063079777,0.00046382189239332097,0.0,0.0,0.0,0.713821892393321,0.038033395176252316,0.0,0.0,0.23933209647495363
13089023426,0.0,0.0,0.0,0.0,0.0,0.998186215235792,0.0018137847642079807,0.0,0.0,0.0
13089023427,0.0,0.0,0.0,0.0,0.0,0.9679653679653679,0.006060606060606061,0.0,0.0,0.025974025974025976
